epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1956.38,0.63032,0.35861,0.81921,0.94705,0.95,0.97598,0.75522,0.91562,0.46694,0.91393,0.000614,0.000614,0.000614
72,1983.04,0.61073,0.34975,0.83507,0.94706,0.95,0.95545,0.7275,1.0005,0.47029,0.94569,0.0005942,0.0005942,0.0005942
73,2009.6,0.57434,0.36427,0.83071,0.95222,0.99668,0.95929,0.73772,0.99211,0.47277,0.95265,0.0005744,0.0005744,0.0005744
74,2035.38,0.62077,0.35792,0.84275,0.95225,0.99734,0.9569,0.74296,0.9211,0.46735,0.93847,0.0005546,0.0005546,0.0005546
75,2061.55,0.60191,0.35357,0.82556,0.95227,0.99773,0.9569,0.74792,0.8549,0.4477,0.92279,0.0005348,0.0005348,0.0005348
76,2087.96,0.55256,0.33475,0.83069,0.95227,0.99768,0.95214,0.77184,0.85891,0.44257,0.93342,0.000515,0.000515,0.000515
77,2115.38,0.606,0.34451,0.82668,0.95225,0.99721,0.95214,0.77699,0.88455,0.45481,0.94109,0.0004952,0.0004952,0.0004952
78,2142.6,0.57875,0.35005,0.81144,0.95224,0.99706,0.95214,0.76296,0.89069,0.4522,0.93809,0.0004754,0.0004754,0.0004754
79,2169.98,0.59375,0.34405,0.81697,0.95225,0.99727,0.95452,0.76845,0.8849,0.44605,0.93192,0.0004556,0.0004556,0.0004556
80,2197.08,0.57338,0.32671,0.81863,0.95225,0.99734,0.95452,0.76196,0.89277,0.45074,0.92599,0.0004358,0.0004358,0.0004358
81,2224.23,0.54324,0.32819,0.77866,0.95224,0.99705,0.95452,0.75602,0.89794,0.43956,0.92717,0.000416,0.000416,0.000416
82,2250.98,0.54926,0.31365,0.81794,0.95223,0.99682,0.95214,0.75391,0.89037,0.42641,0.92452,0.0003962,0.0003962,0.0003962
83,2277.69,0.54278,0.3117,0.81455,0.95224,0.99706,0.95214,0.74697,0.85659,0.41316,0.91581,0.0003764,0.0003764,0.0003764
84,2304.32,0.53444,0.3266,0.81422,0.95224,0.99708,0.9569,0.76962,0.81109,0.41412,0.90721,0.0003566,0.0003566,0.0003566
85,2330.77,0.53458,0.31435,0.79754,0.95223,0.99689,0.95452,0.77701,0.81405,0.41289,0.90897,0.0003368,0.0003368,0.0003368
86,2357.49,0.53086,0.30978,0.81536,0.95222,0.99654,0.95452,0.76219,0.83235,0.42061,0.91342,0.000317,0.000317,0.000317
87,2383.97,0.47994,0.30669,0.80371,0.95221,0.99636,0.95214,0.7517,0.8406,0.42941,0.91592,0.0002972,0.0002972,0.0002972
88,2410.1,0.5038,0.30094,0.80031,0.94732,0.95,0.94598,0.75422,0.83165,0.41865,0.91222,0.0002774,0.0002774,0.0002774
89,2435.86,0.50392,0.29772,0.79782,0.94733,0.95,0.94598,0.76557,0.82223,0.41967,0.90905,0.0002576,0.0002576,0.0002576
90,2461.34,0.47075,0.29681,0.80684,0.9473,0.95,0.94598,0.76809,0.81314,0.42814,0.9064,0.0002378,0.0002378,0.0002378
91,2487.16,0.50478,0.31644,0.81912,0.94721,0.95,0.94598,0.77096,0.81736,0.43379,0.90635,0.000218,0.000218,0.000218
92,2512.62,0.48285,0.30653,0.80103,0.94718,0.95,0.94598,0.74484,0.85122,0.44513,0.91684,0.0001982,0.0001982,0.0001982
93,2538.19,0.51313,0.31203,0.81652,0.94725,0.95,0.94598,0.75394,0.87413,0.44992,0.92463,0.0001784,0.0001784,0.0001784
94,2565.23,0.50857,0.3125,0.81422,0.94739,0.95,0.94795,0.75232,0.88076,0.44252,0.92653,0.0001586,0.0001586,0.0001586
95,2592.48,0.48293,0.29017,0.82346,0.94744,0.95,0.94795,0.75359,0.87799,0.43965,0.92558,0.0001388,0.0001388,0.0001388
96,2618.49,0.47098,0.27931,0.81397,0.94772,0.95,0.94795,0.74179,0.84285,0.42668,0.91583,0.000119,0.000119,0.000119
97,2645.05,0.4672,0.27521,0.80435,0.94771,0.95,0.94795,0.74179,0.8351,0.42424,0.91328,9.92e-05,9.92e-05,9.92e-05
98,2671.62,0.43646,0.26891,0.77217,0.94779,0.95,0.94795,0.74179,0.83071,0.42633,0.91113,7.94e-05,7.94e-05,7.94e-05
99,2698.03,0.45915,0.27433,0.79262,0.95218,0.99584,0.95214,0.75022,0.83054,0.42781,0.91081,5.96e-05,5.96e-05,5.96e-05
100,2724.96,0.4491,0.27612,0.813,0.95218,0.99587,0.95214,0.75709,0.83988,0.43043,0.91294,3.98e-05,3.98e-05,3.98e-05
